label,link,tw_key,quadrant,ring,moved,active,Categorie
Backend as a Service,https://www.cloudflare.com/learning/serverless/glossary/backend-as-a-service-baas/,backend-as-a-service,1,2,1,FALSE,Backend
Clojure,https://clojure.org/,clojure,0,3,0,FALSE,Backend
CockroachDB,https://www.cockroachlabs.com/db/product,cockroachdb,1,2,0,FALSE,Backend
Couchbase,https://www.couchbase.com/community,couchbase,1,3,0,FALSE,Backend
CSS-in-JS,https://medium.com/dailyjs/what-is-actually-css-in-js-f2f529a2757,css-in-js,0,1,0,FALSE,Frontend
Cucumber,https://cucumber.io/,,3,0,0,FALSE,Frontend
Cypress,https://www.cypress.io/,cypress,3,2,0,FALSE,Frontend
Datomic,https://www.datomic.com/,datomic,1,0,0,FALSE,Backend
DDD,https://en.wikipedia.org/wiki/Domain-driven_design,,2,0,0,FALSE,Design
Docker,https://www.docker.com/,docker,1,0,0,FALSE,Cloud
Expo,https://expo.dev,,3,1,1,FALSE,Mobile
Front-end testing,http://frontendtesting.com/,,2,0,0,FALSE,Frontend
GraalVM,https://www.graalvm.org/,graalvm,1,2,0,FALSE,Backend
Grafeas,https://grafeas.io/,grafeas,3,2,0,FALSE,PrivSec
GraphQL,https://graphql.org/,graphql,0,1,0,FALSE,Frontend
Hibernate,https://hibernate.org/,,0,0,0,FALSE,Backend
Jamstack,https://jamstack.org/,jamstack,2,2,1,FALSE,Frontend
Java 11,https://www.oracle.com/technetwork/java/javase/downloads/jdk11-downloads-5066655.html,,0,2,0,FALSE,Backend
Java 8,https://www.oracle.com/technetwork/java/javase/overview/java8-2100321.html,java-8,0,0,0,FALSE,Backend
JavaScript,https://en.wikipedia.org/wiki/JavaScript,javascript-as-a-first-class-language,0,0,0,FALSE,Frontend
Jenkins,https://jenkins.io/,,3,0,0,FALSE,DevOps
Jest,https://jestjs.io,jest,3,2,0,FALSE,Frontend
Keycloak,https://www.keycloak.org/,keycloak,1,0,0,FALSE,PrivSec
Knative,https://cloud.google.com/knative,knative,1,2,0,FALSE,Cloud
Kong,https://konghq.com/kong/,kong-api-gateway,3,2,0,FALSE,Backend
Kotlin,https://kotlinlang.org/,kotlin,0,2,0,FALSE,Backend
Kubernetes,https://kubernetes.io/,kubernetes,1,0,0,FALSE,Cloud
Maven,https://maven.apache.org/,maven,3,0,0,FALSE,Backend
Micro-frontends,https://martinfowler.com/articles/micro-frontends.html,micro-frontends,2,1,0,FALSE,Frontend
next.js,https://nextjs.org/,next-js,0,2,0,FALSE,Frontend
OpenShift,https://www.openshift.com/,,1,0,0,FALSE,Cloud
PostgreSQL,https://www.postgresql.org/,,1,0,0,FALSE,Backend
Progressive Web Applications,https://en.wikipedia.org/wiki/Progressive_web_application,progressive-web-applications,2,1,0,FALSE,Frontend
Prometheus,https://prometheus.io/,prometheus,3,1,0,FALSE,DevOps
Quarkus,https://quarkus.io/,quarkus,0,2,0,FALSE,Cloud
React,https://reactjs.org/,react-js,0,0,0,FALSE,Frontend
React Hooks,https://reactjs.org/docs/hooks-intro.html,react-hooks,0,2,1,FALSE,Frontend
React Native,https://facebook.github.io/react-native/,react-native,0,1,0,FALSE,Mobile
React Query,https://react-query.tanstack.com/,,0,2,1,FALSE,Frontend
Redux,https://redux.js.org/,redux,0,3,-1,FALSE,Frontend
Spring Boot,https://spring.io/projects/spring-boot,spring-boot,1,0,0,FALSE,Backend
Spring Framework,https://spring.io/,,0,0,0,FALSE,Backend
Supabase,https://supabase.io/,,1,2,1,FALSE,Backend
Tailwind CSS,https://tailwindcss.com,,0,1,1,FALSE,Frontend
TypeScript,https://www.typescriptlang.org/,typescript,0,2,0,FALSE,Frontend
Web Components,https://developer.mozilla.org/en-US/docs/Web/Web_Components,web-components-standard,2,1,0,FALSE,Frontend
Yarn,https://yarnpkg.com/,yarn,3,0,0,FALSE,Frontend
